Nikita Kucherov,TBL,R,81,44,144,1.78,21:40
Nathan MacKinnon,COL,C,82,51,140,1.71,22:49
Connor McDavid,EDM,C,76,32,132,1.74,21:22
Artemi Panarin,NYR,L,82,49,120,1.46,20:07
David Pastrnak,BOS,R,82,47,110,1.34,19:56
Auston Matthews,TOR,C,81,69,107,1.32,20:58
Leon Draisaitl,EDM,C,81,41,106,1.31,20:42
Mikko Rantanen,COL,R,80,42,104,1.3,22:54
J.T. Miller,VAN,C,81,37,103,1.27,19:29
William Nylander,TOR,R,82,40,98,1.2,19:55
Kirill Kaprizov,MIN,L,75,46,96,1.28,21:35
Sam Reinhart,FLA,C,82,57,94,1.15,20:18
Sidney Crosby,PIT,C,82,42,94,1.15,20:05
Filip Forsberg,NSH,L,82,48,94,1.15,18:54
Quinn Hughes,VAN,D,82,17,92,1.12,24:41
Brayden Point,TBL,C,81,46,90,1.11,20:02
Sebastian Aho,CAR,C,78,36,89,1.14,19:38
Elias Pettersson,VAN,C,82,34,89,1.09,19:39
Matthew Tkachuk,FLA,L,80,26,88,1.1,18:38
Robert Thomas,STL,C,82,26,86,1.05,20:58
Mitch Marner,TOR,R,69,26,85,1.23,21:17
Roman Josi,NSH,D,82,23,85,1.04,24:38
Jesper Bratt,NJD,L,82,27,83,1.01,19:18
Evan Bouchard,EDM,D,81,18,82,1.01,23:00
Steven Stamkos,TBL,C,79,40,81,1.03,18:14
Jason Robertson,DAL,L,82,29,80,0.98,18:19
Aleksander Barkov,FLA,C,73,23,80,1.1,19:38
Mathew Barzal,NYI,C,80,23,80,1,20:08
Zach Hyman,EDM,L,80,54,77,0.96,19:30
Nick Suzuki,MTL,C,82,33,77,0.94,21:16
Vincent Trocheck,NYR,C,82,25,77,0.94,21:27
Clayton Keller,ARI,R,78,33,76,0.97,19:15
Victor Hedman,TBL,D,78,13,76,0.97,24:48
Chris Kreider,NYR,L,82,39,75,0.91,18:47
Nazem Kadri,CGY,C,82,29,75,0.91,18:26
Adrian Kempe,LAK,R,77,28,75,0.97,18:56
Brandon Hagel,TBL,L,82,26,75,0.91,19:15
Gustav Nyquist,NSH,R,81,23,75,0.93,17:45
Brady Tkachuk,OTT,L,81,37,74,0.91,19:09
Jack Hughes,NJD,C,62,27,74,1.19,20:58
Brock Boeser,VAN,R,81,40,73,0.9,18:36
Kevin Fiala,LAK,L,82,29,73,0.89,18:02
Adam Fox,NYR,D,72,17,73,1.01,23:27
Carter Verhaeghe,FLA,C,76,34,72,0.95,17:58
Lucas Raymond,DET,L,82,31,72,0.88,17:45
Mark Scheifele,WPG,C,74,25,72,0.97,20:11
Anze Kopitar,LAK,C,81,26,70,0.86,19:39
Tim Stützle,OTT,C,75,18,70,0.93,21:07
Noah Dobson,NYI,D,79,10,70,0.89,24:31
Jonathan Marchessault,VGK,R,82,42,69,0.84,17:54
Brock Nelson,NYI,C,82,34,69,0.84,18:05
Dylan Larkin,DET,C,68,33,69,1.01,20:10
Matt Boldy,MIN,L,75,29,69,0.92,18:55
Ryan O'Reilly,NSH,C,82,26,69,0.84,19:46
Josh Morrissey,WPG,D,81,10,69,0.85,24:11
